Line_ID,Compute_PF_Days,Test_Loss
7,6.41e-07,6.15
7,7.46e-07,6.17
7,8.72e-07,6.17
7,1.01e-06,6.18
7,1.18e-06,6.18
7,1.37e-06,6.17
8,2.75e-08,6.95
8,3.15e-08,6.81
8,3.61e-08,6.70
8,4.14e-08,6.60
8,4.74e-08,6.52
8,5.43e-08,6.44
8,6.23e-08,6.37
8,7.14e-08,6.31
8,8.18e-08,6.25
8,9.37e-08,6.20
8,1.07e-07,6.16
8,1.23e-07,6.12
8,1.41e-07,6.09
8,1.61e-07,6.07
8,1.85e-07,6.05
8,2.12e-07,6.04
8,2.42e-07,6.04
8,2.78e-07,6.02
8,3.18e-07,6.03
8,3.65e-07,6.04
8,4.18e-07,6.06
8,4.79e-07,6.07
8,5.49e-07,6.08
8,6.29e-07,6.09
8,7.20e-07,6.11
8,8.25e-07,6.12
8,9.45e-07,6.12
8,1.08e-06,6.12
8,1.24e-06,6.12
8,1.42e-06,6.12
9,4.42e-08,6.95
9,5.00e-08,6.81
9,5.66e-08,6.69
9,6.41e-08,6.59
9,7.25e-08,6.50
9,8.20e-08,6.42
9,9.28e-08,6.35
9,1.05e-07,6.28
9,1.19e-07,6.22
9,1.34e-07,6.17
9,1.52e-07,6.12
9,1.72e-07,6.08
9,1.94e-07,6.04
9,2.20e-07,6.01
9,2.49e-07,5.99
9,2.81e-07,5.97
9,3.18e-07,5.95
9,3.60e-07,5.95
9,4.07e-07,5.95
9,4.61e-07,5.97
9,5.21e-07,5.99
9,5.89e-07,6.00
9,6.67e-07,6.00
9,7.54e-07,5.99
9,8.53e-07,5.99
9,9.65e-07,6.02
9,1.09e-06,6.04
9,1.23e-06,6.04
9,1.40e-06,6.04
9,1.58e-06,6.04
10,7.10e-08,6.95
10,7.95e-08,6.80
10,8.90e-08,6.68
10,9.97e-08,6.57
10,1.12e-07,6.48
10,1.25e-07,6.40
10,1.40e-07,6.33
10,1.57e-07,6.26
10,1.76e-07,6.19
10,1.97e-07,6.13
10,2.21e-07,6.08
10,2.47e-07,6.04
10,2.77e-07,5.99
10,3.10e-07,5.96
10,3.47e-07,5.93
10,3.88e-07,5.91
10,4.35e-07,5.91
10,4.87e-07,5.91
10,5.46e-07,5.91
10,6.11e-07,5.91
10,6.84e-07,5.92
10,7.66e-07,5.93
10,8.58e-07,5.94
10,9.60e-07,5.93
10,1.08e-06,5.93
10,1.20e-06,5.95
10,1.35e-06,5.96
10,1.51e-06,5.97
10,1.69e-06,5.97
10,1.89e-06,5.98
11,1.14e-07,6.95
11,1.26e-07,6.80
11,1.39e-07,6.68
11,1.54e-07,6.56
11,1.70e-07,6.47
11,1.88e-07,6.38
11,2.08e-07,6.30
11,2.30e-07,6.23
11,2.55e-07,6.17
11,2.81e-07,6.11
11,3.12e-07,6.05
11,3.45e-07,6.00
11,3.81e-07,5.95
11,4.22e-07,5.91
11,4.66e-07,5.88
11,5.16e-07,5.85
11,5.70e-07,5.85
11,6.31e-07,5.84
11,6.98e-07,5.85
11,7.72e-07,5.84
11,8.54e-07,5.85
11,9.45e-07,5.87
11,1.05e-06,5.88
11,1.16e-06,5.89
11,1.28e-06,5.89
11,1.42e-06,5.90
11,1.57e-06,5.91
11,1.73e-06,5.91
11,1.92e-06,5.92
11,2.12e-06,5.93
12,1.83e-07,6.95
12,2.00e-07,6.79
12,2.19e-07,6.67
12,2.40e-07,6.55
12,2.62e-07,6.45
12,2.87e-07,6.36
12,3.14e-07,6.28
12,3.44e-07,6.21
12,3.77e-07,6.14
12,4.12e-07,6.08
12,4.52e-07,6.02
12,4.94e-07,5.97
12,5.41e-07,5.91
12,5.92e-07,5.87
12,6.48e-07,5.83
12,7.10e-07,5.80
12,7.77e-07,5.78
12,8.51e-07,5.77
12,9.31e-07,5.77
12,1.02e-06,5.78
12,1.12e-06,5.80
12,1.22e-06,5.82
12,1.34e-06,5.82
12,1.47e-06,5.82
12,1.60e-06,5.83
12,1.76e-06,5.84
12,1.92e-06,5.85
12,2.10e-06,5.85
12,2.30e-06,5.84
12,2.52e-06,5.85
13,2.94e-07,6.95
13,3.18e-07,6.79
13,3.44e-07,6.66
13,3.73e-07,6.54
13,4.04e-07,6.44
13,4.38e-07,6.35
13,4.74e-07,6.26
13,5.13e-07,6.19
13,5.56e-07,6.11
13,6.02e-07,6.05
13,6.52e-07,5.98
13,7.06e-07,5.93
13,7.65e-07,5.88
13,8.28e-07,5.83
13,8.97e-07,5.79
13,9.72e-07,5.76
13,1.05e-06,5.74
13,1.14e-06,5.73
13,1.24e-06,5.72
13,1.34e-06,5.71
13,1.45e-06,5.72
13,1.57e-06,5.73
13,1.70e-06,5.74
13,1.84e-06,5.75
13,2.00e-06,5.76
13,2.16e-06,5.77
13,2.34e-06,5.78
13,2.54e-06,5.78
13,2.75e-06,5.78
13,2.98e-06,5.79
14,4.72e-07,6.95
14,5.06e-07,6.78
14,5.42e-07,6.65
14,5.81e-07,6.53
14,6.23e-07,6.43
14,6.68e-07,6.33
14,7.16e-07,6.24
14,7.68e-07,6.16
14,8.23e-07,6.09
14,8.83e-07,6.02
14,9.47e-07,5.96
14,1.02e-06,5.90
14,1.09e-06,5.84
14,1.17e-06,5.80
14,1.25e-06,5.75
14,1.34e-06,5.72
14,1.44e-06,5.69
14,1.54e-06,5.67
14,1.65e-06,5.66
14,1.77e-06,5.66
14,1.90e-06,5.66
14,2.04e-06,5.67
14,2.19e-06,5.69
14,2.34e-06,5.69
14,2.51e-06,5.70
14,2.70e-06,5.71
14,2.89e-06,5.73
14,3.10e-06,5.74
14,3.32e-06,5.74
14,3.56e-06,5.74
15,7.57e-07,6.95
15,8.04e-07,6.78
15,8.54e-07,6.64
15,9.08e-07,6.52
15,9.64e-07,6.41
15,1.02e-06,6.31
15,1.09e-06,6.22
15,1.16e-06,6.14
15,1.23e-06,6.06
15,1.31e-06,5.99
15,1.39e-06,5.93
15,1.48e-06,5.87
15,1.57e-06,5.81
15,1.67e-06,5.76
15,1.78e-06,5.72
15,1.89e-06,5.68
15,2.00e-06,5.65
15,2.13e-06,5.63
15,2.27e-06,5.61
15,2.41e-06,5.60
15,2.56e-06,5.60
15,2.72e-06,5.60
15,2.89e-06,5.61
15,3.07e-06,5.62
15,3.27e-06,5.63
15,3.47e-06,5.64
15,3.69e-06,5.64
15,3.92e-06,5.64
15,4.17e-06,5.64
15,4.43e-06,5.65
16,1.21e-06,6.95
16,1.28e-06,6.77
16,1.34e-06,6.64
16,1.42e-06,6.51
16,1.49e-06,6.40
16,1.57e-06,6.30
16,1.65e-06,6.21
16,1.74e-06,6.12
16,1.83e-06,6.04
16,1.93e-06,5.97
16,2.03e-06,5.90
16,2.14e-06,5.83
16,2.25e-06,5.78
16,2.37e-06,5.72
16,2.49e-06,5.68
16,2.62e-06,5.63
16,2.76e-06,5.60
16,2.91e-06,5.57
16,3.06e-06,5.55
16,3.22e-06,5.54
16,3.39e-06,5.54
16,3.56e-06,5.54
16,3.75e-06,5.55
16,3.95e-06,5.56
16,4.15e-06,5.56
16,4.37e-06,5.57
16,4.60e-06,5.58
16,4.84e-06,5.59
16,5.10e-06,5.60
16,5.36e-06,5.60
17,1.95e-06,6.95
17,2.04e-06,6.77
17,2.14e-06,6.63
17,2.24e-06,6.50
17,2.34e-06,6.39
17,2.45e-06,6.28
17,2.57e-06,6.19
17,2.69e-06,6.10
17,2.81e-06,6.02
17,2.94e-06,5.94
17,3.08e-06,5.87
17,3.23e-06,5.81
17,3.38e-06,5.75
17,3.54e-06,5.69
17,3.70e-06,5.64
17,3.88e-06,5.60
17,4.06e-06,5.56
17,4.25e-06,5.53
17,4.45e-06,5.51
17,4.66e-06,5.49
17,4.88e-06,5.48
17,5.11e-06,5.47
17,5.35e-06,5.47
17,5.60e-06,5.48
17,5.87e-06,5.49
17,6.15e-06,5.51
17,6.43e-06,5.52
17,6.74e-06,5.52
17,7.05e-06,5.53
17,7.39e-06,5.54
18,3.13e-06,6.95
18,3.26e-06,6.77
18,3.39e-06,6.63
18,3.53e-06,6.49
18,3.68e-06,6.38
18,3.83e-06,6.27
18,3.99e-06,6.17
18,4.16e-06,6.08
18,4.33e-06,6.00
18,4.52e-06,5.92
18,4.71e-06,5.85
18,4.90e-06,5.78
18,5.11e-06,5.72
18,5.33e-06,5.66
18,5.55e-06,5.61
18,5.78e-06,5.56
18,6.03e-06,5.52
18,6.28e-06,5.49
18,6.54e-06,5.46
18,6.82e-06,5.44
18,7.11e-06,5.42
18,7.40e-06,5.41
18,7.71e-06,5.40
18,8.04e-06,5.40
18,8.38e-06,5.40
18,8.73e-06,5.40
18,9.10e-06,5.41
18,9.48e-06,5.42
18,9.88e-06,5.43
18,1.03e-05,5.44
19,5.01e-06,6.95
19,5.20e-06,6.76
19,5.39e-06,6.62
19,5.59e-06,6.49
19,5.80e-06,6.37
19,6.02e-06,6.26
19,6.25e-06,6.16
19,6.49e-06,6.06
19,6.74e-06,5.97
19,6.99e-06,5.89
19,7.26e-06,5.82
19,7.54e-06,5.75
19,7.82e-06,5.69
19,8.12e-06,5.63
19,8.43e-06,5.57
19,8.75e-06,5.53
19,9.08e-06,5.49
19,9.43e-06,5.45
19,9.78e-06,5.42
19,1.02e-05,5.39
19,1.05e-05,5.37
19,1.10e-05,5.36
19,1.14e-05,5.35
19,1.18e-05,5.35
19,1.23e-05,5.34
19,1.27e-05,5.34
19,1.32e-05,5.35
19,1.37e-05,5.35
19,1.42e-05,5.36
19,1.48e-05,5.36
20,8.04e-06,6.95
20,8.30e-06,6.76
20,8.57e-06,6.61
20,8.85e-06,6.48
20,9.15e-06,6.36
20,9.46e-06,6.24
20,9.78e-06,6.14
20,1.01e-05,6.05
20,1.05e-05,5.96
20,1.08e-05,5.88
20,1.12e-05,5.80
20,1.16e-05,5.73
20,1.20e-05,5.66
20,1.24e-05,5.60
20,1.29e-05,5.55
20,1.33e-05,5.50
20,1.38e-05,5.45
20,1.43e-05,5.41
20,1.48e-05,5.38
20,1.53e-05,5.35
20,1.59e-05,5.32
20,1.64e-05,5.30
20,1.70e-05,5.29
20,1.76e-05,5.28
20,1.83e-05,5.27
20,1.89e-05,5.27
20,1.96e-05,5.27
20,2.03e-05,5.27
20,2.10e-05,5.28
20,2.18e-05,5.28
21,1.29e-05,6.95
21,1.33e-05,6.76
21,1.37e-05,6.61
21,1.41e-05,6.47
21,1.45e-05,6.35
21,1.50e-05,6.23
21,1.54e-05,6.13
21,1.59e-05,6.03
21,1.64e-05,5.94
21,1.70e-05,5.86
21,1.75e-05,5.78
21,1.81e-05,5.71
21,1.87e-05,5.64
21,1.93e-05,5.58
21,2.00e-05,5.52
21,2.06e-05,5.47
21,2.13e-05,5.43
21,2.21e-05,5.38
21,2.28e-05,5.34
21,2.36e-05,5.31
21,2.44e-05,5.28
21,2.52e-05,5.26
21,2.61e-05,5.24
21,2.70e-05,5.22
21,2.79e-05,5.20
21,2.89e-05,5.20
21,2.99e-05,5.19
21,3.09e-05,5.19
21,3.20e-05,5.19
21,3.31e-05,5.19
22,2.07e-05,6.95
22,2.12e-05,6.75
22,2.18e-05,6.61
22,2.25e-05,6.47
22,2.31e-05,6.34
22,2.38e-05,6.22
22,2.45e-05,6.12
22,2.52e-05,6.02
22,2.60e-05,5.93
22,2.67e-05,5.84
22,2.75e-05,5.76
22,2.84e-05,5.69
22,2.92e-05,5.62
22,3.01e-05,5.56
22,3.11e-05,5.50
22,3.20e-05,5.45
22,3.30e-05,5.40
22,3.41e-05,5.35
22,3.52e-05,5.31
22,3.63e-05,5.27
22,3.75e-05,5.24
22,3.87e-05,5.21
22,4.00e-05,5.19
22,4.13e-05,5.17
22,4.27e-05,5.15
22,4.41e-05,5.13
22,4.55e-05,5.12
22,4.70e-05,5.11
22,4.86e-05,5.11
22,5.02e-05,5.11
23,3.32e-05,6.95
23,3.40e-05,6.75
23,3.49e-05,6.60
23,3.58e-05,6.46
23,3.67e-05,6.34
23,3.77e-05,6.22
23,3.88e-05,6.11
23,3.98e-05,6.01
23,4.10e-05,5.91
23,4.21e-05,5.82
23,4.33e-05,5.74
23,4.46e-05,5.67
23,4.59e-05,5.60
23,4.72e-05,5.53
23,4.86e-05,5.47
23,5.01e-05,5.42
23,5.16e-05,5.37
23,5.32e-05,5.32
23,5.48e-05,5.28
23,5.65e-05,5.24
23,5.83e-05,5.21
23,6.01e-05,5.17
23,6.20e-05,5.14
23,6.39e-05,5.12
23,6.60e-05,5.10
23,6.81e-05,5.08
23,7.03e-05,5.06
23,7.25e-05,5.05
23,7.49e-05,5.04
23,7.73e-05,5.03
24,5.33e-05,6.95
24,5.45e-05,6.75
24,5.58e-05,6.60
24,5.71e-05,6.46
24,5.85e-05,6.33
24,6.00e-05,6.21
24,6.15e-05,6.10
24,6.30e-05,6.00
24,6.47e-05,5.90
24,6.63e-05,5.81
24,6.81e-05,5.73
24,6.99e-05,5.65
24,7.18e-05,5.58
24,7.38e-05,5.51
24,7.58e-05,5.45
24,7.80e-05,5.39
24,8.02e-05,5.34
24,8.25e-05,5.29
24,8.49e-05,5.25
24,8.74e-05,5.21
24,9.00e-05,5.17
24,9.27e-05,5.14
24,9.54e-05,5.10
24,9.83e-05,5.08
25,1.01e-04,5.05
25,1.04e-04,5.03
25,1.07e-04,5.01
25,1.11e-04,4.99
25,1.14e-04,4.97
25,1.18e-04,4.96
25,8.56e-05,6.95
25,8.73e-05,6.75
25,8.91e-05,6.59
25,9.10e-05,6.46
25,9.29e-05,6.33
25,9.49e-05,6.21
25,9.70e-05,6.09
25,9.92e-05,5.99
25,1.01e-04,5.89
25,1.04e-04,5.80
25,1.06e-04,5.72
25,1.09e-04,5.64
25,1.12e-04,5.56
25,1.15e-04,5.50
25,1.18e-04,5.43
25,1.21e-04,5.37
25,1.24e-04,5.32
25,1.28e-04,5.27
25,1.31e-04,5.22
25,1.35e-04,5.18
25,1.39e-04,5.14
25,1.43e-04,5.10
25,1.47e-04,5.07
25,1.51e-04,5.04
25,1.55e-04,5.01
25,1.60e-04,4.99
25,1.65e-04,4.96
25,1.69e-04,4.94
25,1.74e-04,4.92
25,1.80e-04,4.90
26,1.37e-04,6.95
26,1.40e-04,6.74
26,1.43e-04,6.59
26,1.45e-04,6.45
26,1.48e-04,6.32
26,1.51e-04,6.20
26,1.54e-04,6.09
26,1.58e-04,5.98
26,1.61e-04,5.88
26,1.64e-04,5.79
26,1.68e-04,5.71
26,1.72e-04,5.63
26,1.76e-04,5.55
26,1.80e-04,5.48
26,1.84e-04,5.42
26,1.88e-04,5.35
26,1.93e-04,5.30
26,1.98e-04,5.25
26,2.02e-04,5.20
26,2.07e-04,5.16
26,2.13e-04,5.11
26,2.18e-04,5.07
26,2.24e-04,5.04
26,2.30e-04,5.00
26,2.36e-04,4.97
26,2.42e-04,4.94
26,2.49e-04,4.92
26,2.56e-04,4.89
26,2.63e-04,4.87
26,2.70e-04,4.85
27,2.20e-04,6.95
27,2.24e-04,6.74
27,2.28e-04,6.59
27,2.32e-04,6.45
27,2.37e-04,6.32
27,2.41e-04,6.20
27,2.46e-04,6.08
27,2.51e-04,5.98
27,2.56e-04,5.88
27,2.61e-04,5.78
27,2.66e-04,5.70
27,2.71e-04,5.62
27,2.77e-04,5.54
27,2.83e-04,5.47
27,2.89e-04,5.40
27,2.95e-04,5.34
27,3.01e-04,5.28
27,3.08e-04,5.23
27,3.15e-04,5.18
27,3.22e-04,5.13
27,3.29e-04,5.09
27,3.37e-04,5.05
27,3.45e-04,5.01
27,3.53e-04,4.97
27,3.61e-04,4.94
27,3.70e-04,4.91
27,3.79e-04,4.88
27,3.88e-04,4.85
27,3.98e-04,4.82
27,4.08e-04,4.80
28,3.54e-04,6.95
28,3.59e-04,6.74
28,3.65e-04,6.59
28,3.71e-04,6.45
28,3.77e-04,6.32
28,3.84e-04,6.19
28,3.90e-04,6.08
28,3.97e-04,5.97
28,4.04e-04,5.87
28,4.12e-04,5.78
28,4.19e-04,5.69
28,4.27e-04,5.61
28,4.35e-04,5.53
28,4.43e-04,5.46
28,4.52e-04,5.39
28,4.61e-04,5.32
28,4.70e-04,5.27
28,4.79e-04,5.21
28,4.89e-04,5.16
28,4.99e-04,5.11
28,5.10e-04,5.06
28,5.21e-04,5.02
28,5.32e-04,4.98
28,5.43e-04,4.94
28,5.55e-04,4.91
28,5.67e-04,4.87
28,5.80e-04,4.84
28,5.93e-04,4.81
28,6.06e-04,4.78
28,6.20e-04,4.76
29,5.66e-04,6.95
29,5.74e-04,6.74
29,5.82e-04,6.58
29,5.91e-04,6.44
29,6.00e-04,6.31
29,6.09e-04,6.19
29,6.19e-04,6.07
29,6.28e-04,5.96
29,6.38e-04,5.86
29,6.49e-04,5.77
29,6.60e-04,5.68
29,6.71e-04,5.60
29,6.82e-04,5.52
29,6.94e-04,5.45
29,7.06e-04,5.38
29,7.18e-04,5.31
29,7.31e-04,5.25
29,7.44e-04,5.20
29,7.57e-04,5.14
29,7.71e-04,5.09
29,7.85e-04,5.05
29,7.99e-04,5.00
29,8.14e-04,4.96
29,8.29e-04,4.92
29,8.44e-04,4.88
29,8.60e-04,4.84
29,8.76e-04,4.81
29,8.93e-04,4.77
29,9.10e-04,4.75
29,9.27e-04,4.72
30,9.08e-04,6.95
30,9.19e-04,6.74
30,9.31e-04,6.58
30,9.44e-04,6.44
30,9.57e-04,6.31
30,9.70e-04,6.19
30,9.83e-04,6.07
30,9.97e-04,5.96
30,1.01e-03,5.86
30,1.03e-03,5.76
30,1.04e-03,5.67
30,1.06e-03,5.59
30,1.07e-03,5.51
30,1.09e-03,5.44
30,1.11e-03,5.37
30,1.13e-03,5.30
30,1.14e-03,5.24
30,1.16e-03,5.19
30,1.18e-03,5.13
30,1.20e-03,5.08
30,1.22e-03,5.03
30,1.24e-03,4.98
30,1.27e-03,4.94
30,1.29e-03,4.90
30,1.31e-03,4.86
30,1.34e-03,4.82
30,1.36e-03,4.78
30,1.39e-03,4.75
30,1.41e-03,4.72
30,1.44e-03,4.69
31,1.46e-03,6.95
31,1.47e-03,6.74
31,1.49e-03,6.58
31,1.51e-03,6.44
31,1.53e-03,6.31
31,1.55e-03,6.18
31,1.57e-03,6.07
31,1.59e-03,5.96
31,1.61e-03,5.85
31,1.63e-03,5.76
31,1.66e-03,5.67
31,1.68e-03,5.58
31,1.70e-03,5.50
31,1.73e-03,5.43
31,1.76e-03,5.36
31,1.78e-03,5.29
31,1.81e-03,5.23
31,1.84e-03,5.17
31,1.87e-03,5.11
31,1.90e-03,5.06
31,1.93e-03,5.01
31,1.96e-03,4.97
31,1.99e-03,4.92
31,2.02e-03,4.88
31,2.06e-03,4.84
31,2.10e-03,4.80
31,2.13e-03,4.76
31,2.17e-03,4.73
31,2.21e-03,4.69
31,2.25e-03,4.66
32,2.33e-03,6.95
32,2.36e-03,6.73
32,2.39e-03,6.58
32,2.42e-03,6.43
32,2.45e-03,6.30
32,2.48e-03,6.18
32,2.51e-03,6.06
32,2.54e-03,5.95
32,2.58e-03,5.85
32,2.61e-03,5.75
32,2.65e-03,5.66
32,2.69e-03,5.58
32,2.72e-03,5.50
32,2.76e-03,5.42
32,2.81e-03,5.35
32,2.85e-03,5.28
32,2.89e-03,5.22
32,2.94e-03,5.16
32,2.98e-03,5.10
32,3.03e-03,5.05
32,3.08e-03,5.00
32,3.13e-03,4.95
32,3.19e-03,4.91
32,3.24e-03,4.86
32,3.29e-03,4.82
32,3.35e-03,4.78
32,3.41e-03,4.74
32,3.47e-03,4.71
32,3.53e-03,4.67
32,3.60e-03,4.64
33,3.74e-03,6.95
33,3.78e-03,6.73
33,3.83e-03,6.57
33,3.87e-03,6.43
33,3.92e-03,6.30
33,3.97e-03,6.17
33,4.02e-03,6.06
33,4.07e-03,5.95
33,4.12e-03,5.85
33,4.18e-03,5.75
33,4.24e-03,5.66
33,4.29e-03,5.57
33,4.35e-03,5.49
33,4.42e-03,5.41
33,4.48e-03,5.34
33,4.55e-03,5.27
33,4.61e-03,5.21
33,4.69e-03,5.15
33,4.76e-03,5.09
33,4.84e-03,5.04
33,4.91e-03,4.98
33,4.99e-03,4.94
33,5.08e-03,4.89
33,5.16e-03,4.85
33,5.25e-03,4.80
33,5.34e-03,4.76
33,5.43e-03,4.73
33,5.53e-03,4.69
33,5.63e-03,4.65
33,5.73e-03,4.62
34,6.00e-03,6.95
34,6.06e-03,6.73
34,6.12e-03,6.57
34,6.19e-03,6.43
34,6.26e-03,6.30
34,6.33e-03,6.17
34,6.41e-03,6.05
34,6.49e-03,5.94
34,6.57e-03,5.84
34,6.65e-03,5.74
34,6.74e-03,5.65
34,6.83e-03,5.57
34,6.92e-03,5.48
34,7.02e-03,5.40
34,7.12e-03,5.33
34,7.22e-03,5.26
34,7.33e-03,5.20
34,7.44e-03,5.14
34,7.55e-03,5.08
34,7.67e-03,5.03
34,7.79e-03,4.97
34,7.91e-03,4.92
34,8.04e-03,4.88
34,8.17e-03,4.83
34,8.31e-03,4.79
34,8.44e-03,4.75
34,8.59e-03,4.71
34,8.73e-03,4.67
34,8.88e-03,4.64
34,9.04e-03,4.60
35,9.60e-03,6.95
35,9.70e-03,6.73
35,9.80e-03,6.57
35,9.91e-03,6.43
35,1.00e-02,6.29
35,1.01e-02,6.17
35,1.02e-02,6.05
35,1.04e-02,5.94
35,1.05e-02,5.84
35,1.06e-02,5.74
35,1.07e-02,5.65
35,1.09e-02,5.56
35,1.10e-02,5.48
35,1.12e-02,5.40
35,1.14e-02,5.32
35,1.15e-02,5.25
35,1.17e-02,5.19
35,1.19e-02,5.13
35,1.20e-02,5.07
35,1.22e-02,5.02
35,1.24e-02,4.97
35,1.26e-02,4.92
35,1.28e-02,4.87
35,1.31e-02,4.82
35,1.33e-02,4.78
35,1.35e-02,4.73
35,1.37e-02,4.69
35,1.40e-02,4.66
35,1.42e-02,4.62
35,1.44e-02,4.58
